code,rt_date,rt_time,rt_last,rt_last_vol,rt_oi_change,rt_nature
RB.SHF,20181026,133000,4240,3758,1470,4
RB.SHF,20181026,133001,4241,1524,-234,2
RB.SHF,20181026,133001,4240,1826,-290,5
RB.SHF,20181026,133002,4241,806,74,4
RB.SHF,20181026,133002,4241,776,450,4
RB.SHF,20181026,133003,4240,874,-60,5
RB.SHF,20181026,133003,4240,486,-24,5
RB.SHF,20181026,133004,4240,166,110,4
RB.SHF,20181026,133004,4239,382,356,1
RB.SHF,20181026,133005,4239,352,30,1
RB.SHF,20181026,133005,4239,154,102,4
RB.SHF,20181026,133006,4238,80,46,1
RB.SHF,20181026,133006,4238,566,-70,5
RB.SHF,20181026,133007,4238,136,56,1
RB.SHF,20181026,133007,4238,176,-66,2
RB.SHF,20181026,133008,4237,386,140,1
RB.SHF,20181026,133008,4238,128,-30,2
RB.SHF,20181026,133009,4238,90,44,1
RB.SHF,20181026,133009,4237,360,306,1
RB.SHF,20181026,133010,4237,132,14,1
RB.SHF,20181026,133010,4239,606,556,4
RB.SHF,20181026,133011,4238,290,186,1
RB.SHF,20181026,133011,4239,60,44,4
RB.SHF,20181026,133012,4238,350,242,1
RB.SHF,20181026,133013,4239,286,204,4
RB.SHF,20181026,133013,4240,170,90,4
RB.SHF,20181026,133014,4238,126,-2,5
RB.SHF,20181026,133014,4239,212,0,6
RB.SHF,20181026,133015,4239,172,146,1
RB.SHF,20181026,133015,4240,48,38,4
RB.SHF,20181026,133016,4240,56,22,4
RB.SHF,20181026,133016,4239,448,246,1
RB.SHF,20181026,133017,4240,70,-16,2
RB.SHF,20181026,133017,4240,250,54,4
RB.SHF,20181026,133018,4239,44,-22,5
RB.SHF,20181026,133018,4239,112,-18,5
RB.SHF,20181026,133019,4239,264,-128,5
RB.SHF,20181026,133019,4240,458,398,4
RB.SHF,20181026,133020,4239,82,-50,5
RB.SHF,20181026,133020,4240,60,44,4
RB.SHF,20181026,133021,4239,462,144,1
RB.SHF,20181026,133021,4240,42,18,4
RB.SHF,20181026,133022,4240,24,14,4
